Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
NE;AL;MACEIO;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
N;AM;TEFE;GASOLINA;03/01/2022;7,25;R$ / litro;BRANCA
NE;BA;BRUMADO;GASOLINA;03/01/2022;6,99;R$ / litro;RAIZEN
NE;BA;GUANAMBI;GASOLINA;03/01/2022;6,74;R$ / litro;BRANCA
NE;BA;VITORIA DA CONQUISTA;GASOLINA;03/01/2022;6,82;R$ / litro;BRANCA
CO;GO;FORMOSA;GASOLINA;03/01/2022;6,99;R$ / litro;VIBRA ENERGIA
N;TO;GURUPI;GASOLINA;03/01/2022;6,85;R$ / litro;BRANCA
CO;GO;JATAI;GASOLINA;03/01/2022;6,96;R$ / litro;MASUT DISTRIBUIDORA
CO;GO;MINEIROS;GASOLINA;03/01/2022;6,87;R$ / litro;RAIZEN
SE;MG;MANHUACU;GASOLINA;03/01/2022;7,21;R$ / litro;RAIZEN
SE;MG;MURIAE;GASOLINA;03/01/2022;7,19;R$ / litro;VIBRA ENERGIA
SE;MG;TEOFILO OTONI;GASOLINA;03/01/2022;7,12;R$ / litro;BRANCA
SE;MG;UBA;GASOLINA;03/01/2022;7,19;R$ / litro;VIBRA ENERGIA
SE;MG;UBERABA;GASOLINA;03/01/2022;6,79;R$ / litro;RIO BRANCO
SE;MG;VICOSA;GASOLINA;03/01/2022;7,28;R$ / litro;VIBRA ENERGIA
N;PA;SANTAREM;GASOLINA;03/01/2022;6,79;R$ / litro;SABBÁ
NE;PB;JOAO PESSOA;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
NE;PE;IGARASSU;GASOLINA;03/01/2022;6,47;R$ / litro;BRANCA
S;PR;MARINGA;GASOLINA;03/01/2022;6,53;R$ / litro;BRANCA
S;PR;PARANAGUA;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;RJ;BARRA MANSA;GASOLINA;03/01/2022;7,49;R$ / litro;VIBRA ENERGIA
SE;RJ;NOVA FRIBURGO;GASOLINA;03/01/2022;7,39;R$ / litro;VIBRA ENERGIA
NE;RN;MOSSORO;GASOLINA;03/01/2022;6,95;R$ / litro;BRANCA
S;RS;GUAIBA;GASOLINA;03/01/2022;6,73;R$ / litro;IPIRANGA
S;RS;IJUI;GASOLINA;03/01/2022;6,8;R$ / litro;BRANCA
S;SC;BALNEARIO CAMBORIU;GASOLINA;03/01/2022;6,49;R$ / litro;IPIRANGA
S;SC;ITAJAI;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;ARARAS;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;BEBEDOURO;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;SP;CAMPINAS;GASOLINA;03/01/2022;6,09;R$ / litro;IPIRANGA
SE;SP;FRANCA;GASOLINA;03/01/2022;6,45;R$ / litro;BRANCA
SE;SP;INDAIATUBA;GASOLINA;03/01/2022;6,37;R$ / litro;VIBRA ENERGIA
SE;SP;LEME;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;LINS;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;PARAGUACU PAULISTA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;PIRASSUNUNGA;GASOLINA;03/01/2022;6,39;R$ / litro;IPIRANGA
SE;SP;PORTO FERREIRA;GASOLINA;03/01/2022;6,27;R$ / litro;BRANCA
SE;SP;PRAIA GRANDE;GASOLINA;03/01/2022;5,99;R$ / litro;BRANCA
SE;SP;PRESIDENTE PRUDENTE;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
SE;SP;SAO BERNARDO DO CAMPO;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;SP;SAO CARLOS;GASOLINA;03/01/2022;6,37;R$ / litro;BRANCA
SE;SP;SUMARE;GASOLINA;03/01/2022;6,15;R$ / litro;BRANCA
CO;GO;AGUAS LINDAS DE GOIAS;GASOLINA;03/01/2022;6,89;R$ / litro;VIBRA ENERGIA
S;RS;PELOTAS;GASOLINA;03/01/2022;7,19;R$ / litro;RODOIL
CO;GO;VALPARAISO DE GOIAS;GASOLINA;03/01/2022;6,75;R$ / litro;IPIRANGA
SE;SP;OURINHOS;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
NE;BA;ITABUNA;GASOLINA;03/01/2022;6,99;R$ / litro;BRANCA
SE;SP;PAULINIA;GASOLINA;03/01/2022;6,19;R$ / litro;VIBRA ENERGIA
S;PR;COLOMBO;GASOLINA;03/01/2022;6,19;R$ / litro;IPIRANGA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;GASOLINA;03/01/2022;7,39;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;DIESEL S10;04/01/2022;5,93;R$ / litro;VIBRA ENERGIA
N;AP;MACAPA;DIESEL;04/01/2022;5,33;R$ / litro;BRANCA
NE;CE;CRATEUS;DIESEL S10;04/01/2022;5,94;R$ / litro;SP
NE;CE;QUIXADA;DIESEL S10;04/01/2022;5,79;R$ / litro;RAIZEN
CO;DF;BRASILIA;GASOLINA ADITIVADA;04/01/2022;6,75;R$ / litro;BRANCA
SE;ES;GUARAPARI;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
SE;ES;SAO MATEUS;DIESEL S10;04/01/2022;5,19;R$ / litro;VIBRA ENERGIA
SE;ES;VITORIA;GNV;04/01/2022;4,49;R$ / m³;RAIZEN
CO;GO;APARECIDA DE GOIANIA;DIESEL;04/01/2022;5,29;R$ / litro;BRANCA
CO;GO;GOIANIA;DIESEL;04/01/2022;5,29;R$ / litro;RIO BRANCO
CO;GO;MORRINHOS;DIESEL S10;04/01/2022;5,44;R$ / litro;BRANCA
N;TO;PALMAS;DIESEL S10;04/01/2022;5,19;R$ / litro;BRANCA
SE;MG;ALFENAS;DIESEL S10;04/01/2022;5,69;R$ / litro;BRANCA
SE;MG;BETIM;DIESEL S10;04/01/2022;5,28;R$ / litro;IPIRANGA
SE;MG;IPATINGA;DIESEL S10;04/01/2022;5,39;R$ / litro;VIBRA ENERGIA
SE;MG;JOAO PINHEIRO;DIESEL S10;04/01/2022;5,13;R$ / litro;BRANCA
SE;MG;OLIVEIRA;ETANOL;04/01/2022;5,29;R$ / litro;RAIZEN
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;04/01/2022;6,98;R$ / litro;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;MG;SETE LAGOAS;DIESEL;04/01/2022;5,04;R$ / litro;BRANCA
CO;MS;PONTA PORA;DIESEL S10;04/01/2022;5,39;R$ / litro;BRANCA
CO;MS;TRES LAGOAS;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
CO;MT;ALTA FLORESTA;DIESEL;04/01/2022;6,31;R$ / litro;VIBRA ENERGIA
CO;MT;SINOP;GASOLINA ADITIVADA;04/01/2022;6,57;R$ / litro;BRANCA
N;PA;CAMETA;DIESEL;04/01/2022;5,4;R$ / litro;BRANCA
N;PA;CONCEICAO DO ARAGUAIA;DIESEL S10;04/01/2022;6;R$ / litro;BRANCA
N;PA;MARABA;DIESEL S10;04/01/2022;5,56;R$ / litro;BRANCA
NE;PB;SOUSA;DIESEL S10;04/01/2022;5,68;R$ / litro;TEMAPE
NE;PE;ARARIPINA;DIESEL S10;04/01/2022;5,38;R$ / litro;VIBRA ENERGIA
NE;PE;GARANHUNS;DIESEL S10;04/01/2022;5,19;R$ / litro;RAIZEN
NE;PE;JABOATAO DOS GUARARAPES;GNV;04/01/2022;3,95;R$ / m³;BRANCA
NE;PE;PAULISTA;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
NE;PE;PETROLINA;DIESEL;04/01/2022;5,56;R$ / litro;VIBRA ENERGIA
S;PR;CAMPO MOURAO;ETANOL;04/01/2022;4,92;R$ / litro;BRANCA
S;PR;CORNELIO PROCOPIO;DIESEL;04/01/2022;5,04;R$ / litro;RAIZEN
S;PR;FRANCISCO BELTRAO;DIESEL S10;04/01/2022;5,09;R$ / litro;IPIRANGA
S;PR;PINHAIS;DIESEL S10;04/01/2022;4,95;R$ / litro;UNI
SE;RJ;NOVA IGUACU;DIESEL S10;04/01/2022;5,19;R$ / litro;BRANCA
SE;RJ;BELFORD ROXO;GNV;04/01/2022;4,19;R$ / m³;IPIRANGA
SE;RJ;RIO DE JANEIRO;GNV;04/01/2022;3,99;R$ / m³;BRANCA
SE;RJ;SAO JOAO DE MERITI;GNV;04/01/2022;4,09;R$ / m³;RAIZEN
SE;RJ;SAQUAREMA;GNV;04/01/2022;5,49;R$ / m³;RAIZEN
SE;RJ;VOLTA REDONDA;DIESEL S10;04/01/2022;5,29;R$ / litro;BRANCA
NE;RN;NATAL;DIESEL S10;04/01/2022;5,99;R$ / litro;ALESAT
N;RO;CACOAL;DIESEL S10;04/01/2022;5,52;R$ / litro;VIBRA ENERGIA
N;RO;PIMENTA BUENO;DIESEL S10;04/01/2022;5,7;R$ / litro;VIBRA ENERGIA
N;RO;PORTO VELHO;DIESEL S10;04/01/2022;5,59;R$ / litro;SABBÁ
S;RS;PASSO FUNDO;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
S;SC;BLUMENAU;DIESEL S10;04/01/2022;5,54;R$ / litro;VIBRA ENERGIA
NE;SE;NOSSA SENHORA DO SOCORRO;DIESEL S10;04/01/2022;5,89;R$ / litro;PETROX DISTRIBUIDORA
SE;SP;ATIBAIA;GASOLINA ADITIVADA;04/01/2022;6,69;R$ / litro;IPIRANGA
SE;SP;BAURU;DIESEL;04/01/2022;5,25;R$ / litro;BRANCA
SE;SP;COTIA;GASOLINA ADITIVADA;04/01/2022;6,49;R$ / litro;RAIZEN
SE;SP;CRUZEIRO;DIESEL S10;04/01/2022;5,69;R$ / litro;BRANCA
SE;SP;CUBATAO;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;DRACENA;DIESEL S10;04/01/2022;5,47;R$ / litro;RAIZEN
SE;SP;GUARULHOS;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;ITANHAEM;DIESEL S10;04/01/2022;5,89;R$ / litro;ALESAT
SE;SP;JABOTICABAL;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
SE;SP;JALES;DIESEL;04/01/2022;5,29;R$ / litro;BRANCA
SE;SP;JAU;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
SE;SP;JOSE BONIFACIO;DIESEL S10;04/01/2022;5,54;R$ / litro;IPIRANGA
SE;SP;MIRASSOL;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;MOGI DAS CRUZES;DIESEL S10;04/01/2022;5,19;R$ / litro;BRANCA
SE;SP;MONTE ALTO;DIESEL S10;04/01/2022;5,19;R$ / litro;BRANCA
SE;SP;PIRACICABA;DIESEL S10;04/01/2022;5,29;R$ / litro;RAIZEN
SE;SP;POA;DIESEL;04/01/2022;5,03;R$ / litro;BRANCA
SE;SP;RIO CLARO;DIESEL S10;04/01/2022;5,39;R$ / litro;VIBRA ENERGIA
SE;SP;SAO PAULO;ETANOL;04/01/2022;4,49;R$ / litro;BRANCA
SE;SP;SUZANO;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
SE;SP;TAUBATE;DIESEL S10;04/01/2022;5,14;R$ / litro;RAIZEN
N;AM;MANAUS;DIESEL S10;04/01/2022;5,29;R$ / litro;SABBÁ
NE;BA;CAMACARI;GNV;04/01/2022;3,79;R$ / m³;VIBRA ENERGIA
NE;BA;FEIRA DE SANTANA;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
NE;BA;JUAZEIRO;DIESEL S10;04/01/2022;5,67;R$ / litro;PETROBAHIA
NE;BA;LAURO DE FREITAS;DIESEL S10;04/01/2022;5,25;R$ / litro;BRANCA
NE;BA;PAULO AFONSO;DIESEL S10;04/01/2022;5,66;R$ / litro;RAIZEN
NE;BA;SIMOES FILHO;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
NE;CE;FORTALEZA;DIESEL S10;04/01/2022;5,69;R$ / litro;VIBRA ENERGIA
NE;MA;IMPERATRIZ;DIESEL S10;04/01/2022;5,54;R$ / litro;IPIRANGA
NE;MA;SAO JOSE DE RIBAMAR;DIESEL S10;04/01/2022;5,24;R$ / litro;BRANCA
SE;MG;BELO HORIZONTE;DIESEL S10;04/01/2022;5,47;R$ / litro;IPIRANGA
SE;MG;CAMPO BELO;DIESEL;04/01/2022;5,53;R$ / litro;VIBRA ENERGIA
NE;PE;LAJEDO;DIESEL S10;04/01/2022;5,15;R$ / litro;BRANCA
NE;PI;PARNAIBA;DIESEL S10;04/01/2022;5,59;R$ / litro;BRANCA
S;PR;CAMBE;DIESEL S10;04/01/2022;5,09;R$ / litro;RAIZEN
S;PR;CURITIBA;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
S;PR;SAO JOSE DOS PINHAIS;GASOLINA ADITIVADA;04/01/2022;6,45;R$ / litro;IPIRANGA
SE;RJ;VALENCA;DIESEL S10;04/01/2022;5,35;R$ / litro;ALESAT
S;RS;PORTO ALEGRE;DIESEL S10;04/01/2022;5,49;R$ / litro;VIBRA ENERGIA
S;SC;BIGUACU;DIESEL S10;04/01/2022;5,47;R$ / litro;BRANCA
S;SC;CACADOR;DIESEL S10;04/01/2022;5,63;R$ / litro;RAIZEN MIME
S;SC;JOINVILLE;DIESEL S10;04/01/2022;5,74;R$ / litro;IPIRANGA
S;SC;MAFRA;DIESEL S10;04/01/2022;5,34;R$ / litro;IPIRANGA
S;SC;SAO JOSE;DIESEL S10;04/01/2022;5,24;R$ / litro;BRANCA
NE;SE;ITABAIANA;DIESEL S10;04/01/2022;5,27;R$ / litro;RAIZEN
SE;SP;ARACATUBA;DIESEL S10;04/01/2022;5,49;R$ / litro;IPIRANGA
SE;SP;BARRETOS;ETANOL;04/01/2022;4,79;R$ / litro;BRANCA
SE;SP;CARAPICUIBA;DIESEL S10;04/01/2022;5,14;R$ / litro;VIBRA ENERGIA
SE;SP;GUARUJA;DIESEL S10;04/01/2022;5,17;R$ / litro;IPIRANGA
SE;SP;ITAPEVA;DIESEL S10;04/01/2022;5,45;R$ / litro;IPIRANGA
SE;SP;ITAPOLIS;DIESEL S10;04/01/2022;5,49;R$ / litro;BRANCA
SE;SP;LIMEIRA;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;LORENA;DIESEL S10;04/01/2022;5,16;R$ / litro;BRANCA
SE;SP;OSASCO;DIESEL S10;04/01/2022;5,19;R$ / litro;RAIZEN
SE;SP;TATUI;DIESEL S10;04/01/2022;5,44;R$ / litro;VIBRA ENERGIA
SE;SP;TUPA;DIESEL S10;04/01/2022;5,45;R$ / litro;BRANCA
SE;SP;UBATUBA;DIESEL S10;04/01/2022;5,59;R$ / litro;VIBRA ENERGIA
S;RS;SANTA MARIA;DIESEL S10;04/01/2022;5,14;R$ / litro;IPIRANGA
N;RO;VILHENA;DIESEL S10;04/01/2022;5,81;R$ / litro;EQUADOR
N;PA;PARAUAPEBAS;DIESEL S10;04/01/2022;5,95;R$ / litro;BRANCA
SE;SP;ADAMANTINA;ETANOL;04/01/2022;4,69;R$ / litro;BRANCA
NE;BA;EUNAPOLIS;DIESEL S10;04/01/2022;5,69;R$ / litro;RAIZEN
N;RR;BOA VISTA;DIESEL S10;04/01/2022;5,63;R$ / litro;IPIRANGA
S;RS;CRUZ ALTA;GASOLINA ADITIVADA;04/01/2022;6,71;R$ / litro;BRANCA
NE;BA;BARREIRAS;DIESEL S10;05/01/2022;5,75;R$ / litro;BRANCA
NE;BA;IRECE;GASOLINA;05/01/2022;6,91;R$ / litro;VIBRA ENERGIA
NE;CE;JUAZEIRO DO NORTE;GASOLINA;05/01/2022;6,69;R$ / litro;VIBRA ENERGIA
NE;CE;LIMOEIRO DO NORTE;GASOLINA;05/01/2022;6,97;R$ / litro;VIBRA ENERGIA
SE;ES;VILA VELHA;GASOLINA;05/01/2022;6,65;R$ / litro;VIBRA ENERGIA
CO;GO;ANAPOLIS;GASOLINA;05/01/2022;6,59;R$ / litro;ALESAT
NE;MA;SAO LUIS;GASOLINA;05/01/2022;6,4;R$ / litro;BRANCA
SE;MG;BARBACENA;GASOLINA;05/01/2022;6,67;R$ / litro;TOTALENERGIES
SE;MG;FORMIGA;GASOLINA;05/01/2022;6,98;R$ / litro;VIBRA ENERGIA
SE;MG;ITAUNA;GASOLINA;05/01/2022;6,99;R$ / litro;IPIRANGA
SE;MG;JANUARIA;GASOLINA;05/01/2022;7,25;R$ / litro;RAIZEN
SE;MG;PARACATU;GASOLINA;05/01/2022;6,98;R$ / litro;BRANCA
SE;MG;PATOS DE MINAS;GASOLINA;05/01/2022;6,83;R$ / litro;BRANCA
SE;MG;POUSO ALEGRE;GASOLINA;05/01/2022;6,99;R$ / litro;BRANCA
