Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
NE;MA;SAO JOSE DE RIBAMAR;DIESEL S10;04/01/2022;5,24;R$ / litro;BRANCA
S;SC;SAO JOSE;DIESEL S10;04/01/2022;5,24;R$ / litro;BRANCA
SE;SP;BAURU;DIESEL;04/01/2022;5,25;R$ / litro;BRANCA
NE;BA;LAURO DE FREITAS;DIESEL S10;04/01/2022;5,25;R$ / litro;BRANCA
N;PA;ANANINDEUA;DIESEL;05/01/2022;5,25;R$ / litro;BRANCA
S;RS;ALVORADA;DIESEL;05/01/2022;5,25;R$ / litro;VIBRA ENERGIA
S;PR;APUCARANA;DIESEL;05/01/2022;5,25;R$ / litro;RAIZEN
NE;AL;RIO LARGO;ETANOL;03/02/2022;5,25;R$ / litro;VIBRA ENERGIA
SE;SP;ITAQUAQUECETUBA;DIESEL S10;05/01/2022;5,26;R$ / litro;BRANCA
NE;SE;ITABAIANA;DIESEL S10;04/01/2022;5,27;R$ / litro;RAIZEN
SE;SP;SANTA CRUZ DO RIO PARDO;DIESEL;05/01/2022;5,27;R$ / litro;BRANCA
SE;RJ;DUQUE DE CAXIAS;DIESEL;06/01/2022;5,27;R$ / litro;RAIZEN
SE;MG;BETIM;DIESEL S10;04/01/2022;5,28;R$ / litro;IPIRANGA
SE;ES;GUARAPARI;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
CO;GO;APARECIDA DE GOIANIA;DIESEL;04/01/2022;5,29;R$ / litro;BRANCA
CO;GO;GOIANIA;DIESEL;04/01/2022;5,29;R$ / litro;RIO BRANCO
SE;MG;OLIVEIRA;ETANOL;04/01/2022;5,29;R$ / litro;RAIZEN
SE;RJ;VOLTA REDONDA;DIESEL S10;04/01/2022;5,29;R$ / litro;BRANCA
S;RS;PASSO FUNDO;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
SE;SP;JALES;DIESEL;04/01/2022;5,29;R$ / litro;BRANCA
SE;SP;PIRACICABA;DIESEL S10;04/01/2022;5,29;R$ / litro;RAIZEN
N;AM;MANAUS;DIESEL S10;04/01/2022;5,29;R$ / litro;SABBÁ
S;PR;CURITIBA;DIESEL S10;04/01/2022;5,29;R$ / litro;VIBRA ENERGIA
NE;PE;SERRA TALHADA;DIESEL S10;05/01/2022;5,29;R$ / litro;IPIRANGA
S;RS;VIAMAO;DIESEL S10;05/01/2022;5,29;R$ / litro;VIBRA ENERGIA
SE;SP;ITU;DIESEL S10;05/01/2022;5,29;R$ / litro;BRANCA
SE;SP;AMPARO;DIESEL;06/01/2022;5,29;R$ / litro;VIBRA ENERGIA
S;RS;SAO LUIZ GONZAGA;DIESEL;06/01/2022;5,29;R$ / litro;VIBRA ENERGIA
S;RS;BENTO GONCALVES;DIESEL;06/01/2022;5,31;R$ / litro;IPIRANGA
N;AP;MACAPA;DIESEL;04/01/2022;5,33;R$ / litro;BRANCA
S;PR;CASTRO;DIESEL;05/01/2022;5,33;R$ / litro;IPIRANGA
S;SC;MAFRA;DIESEL S10;04/01/2022;5,34;R$ / litro;IPIRANGA
S;SC;JARAGUA DO SUL;DIESEL S10;03/02/2022;5,34;R$ / litro;BRANCA
CO;GO;GOIATUBA;ETANOL;16/02/2022;5,34;R$ / litro;BRANCA
SE;RJ;VALENCA;DIESEL S10;04/01/2022;5,35;R$ / litro;ALESAT
S;RS;ALEGRETE;DIESEL;05/01/2022;5,35;R$ / litro;RAIZEN
NE;CE;CRATO;DIESEL;06/01/2022;5,35;R$ / litro;BRANCA
S;RS;SANTA CRUZ DO SUL;DIESEL;06/01/2022;5,35;R$ / litro;IPIRANGA
SE;SP;COSMOPOLIS;DIESEL;06/01/2022;5,35;R$ / litro;BRANCA
NE;PE;CABO DE SANTO AGOSTINHO;DIESEL S10;05/01/2022;5,37;R$ / litro;RAIZEN
NE;PE;CARUARU;DIESEL S10;05/01/2022;5,37;R$ / litro;BRANCA
NE;PE;ARARIPINA;DIESEL S10;04/01/2022;5,38;R$ / litro;VIBRA ENERGIA
SE;MG;IPATINGA;DIESEL S10;04/01/2022;5,39;R$ / litro;VIBRA ENERGIA
CO;MS;PONTA PORA;DIESEL S10;04/01/2022;5,39;R$ / litro;BRANCA
SE;SP;GUARULHOS;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;MIRASSOL;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;RIO CLARO;DIESEL S10;04/01/2022;5,39;R$ / litro;VIBRA ENERGIA
SE;SP;LIMEIRA;DIESEL S10;04/01/2022;5,39;R$ / litro;IPIRANGA
S;RS;CACHOEIRA DO SUL;DIESEL;05/01/2022;5,39;R$ / litro;IPIRANGA
SE;SP;MOGI MIRIM;DIESEL;06/01/2022;5,39;R$ / litro;IPIRANGA
